productId,productName,categoryName
B07GDLCQXV,Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock Blue,Suitcases
B07XSCCZYG,"Platinum Elite Softside Expandable Checked Luggage, 8 Wheel Spinner Suitcase, TSA Lock, Men and Women, True Navy Blue, Checked Medium 25-Inch",Suitcases
B08MVFKGJM,"Freeform Hardside Expandable with Double Spinner Wheels, Navy, 2-Piece Set (21/28)",Suitcases
B01DJLKZBA,"Winfield 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Deep Blue",Suitcases
B07XSCD2R4,"Maxlite 5 Softside Expandable Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Sapphire Blue, Carry-On 21-Inch",Suitcases
B07MXF4G8K,"Hard Shell Carry on Luggage Airline Approved, Carry on Suitcases with Wheels, Lightweight PC Luminous Textured Travel Luggage, TSA Approved, 20 Inch Small Carry-On, Black",Suitcases
B07H515VCZ,"Maxporter II 30"" Hardside Spinner Trunk Luggage, Expandable, Navy",Suitcases
B08BXBCNMQ,"Omni 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Arctic Silver",Suitcases
B0B9K44XTS,Luggage Sets Expandable Lightweight Suitcases with Wheels PC+ABS Durable Travel Luggage TSA Lock Navy Blue 4pcs,Suitcases
B07QZLHTTY,"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Patriot Blue, Checked Medium 25-Inch",Suitcases
B01HIATG6I,"Chatelet Hard+ Hardside Luggage with Spinner Wheels, Champagne White, Checked-Large 28 Inch, with Brake",Suitcases
B07QXD3J9G,"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Jet Black, Carry on 20-Inch",Suitcases
B081JDHNX1,"Centric 2 Hardside Expandable Luggage with Spinners, True Navy, 3-Piece Set (20/24/28)",Suitcases
B07DMBG7CX,Xpedition 30 Inch Multi-Pocket Upright Rolling Duffel Bag,Suitcases
B0B2X1BDFH,"Stratum 2.0 Expandable Hardside Luggage with Spinner Wheels, 28"" SPINNER, Slate Blue",Suitcases
B00GI3572E,"Women's Spinner Mobile Office, Black, One Size",Suitcases
B084P184MG,"Ascella X Softside Expandable Luggage with Spinners, Black, Checked-Large 29-Inch",Suitcases
B094LVRCZD,"Boren Polycarbonate Hardside Rugged Travel Suitcase Luggage with 8 Spinner Wheels, Aluminum Handle, Black, Checked-Large 30-Inch",Suitcases
B072Z7K96L,Clear PVC Suitcase Cover Protectors 28 Inch Luggage Cover for Wheeled Suitcase (28''(24.80''H x 19.90''L x 12.40''W)),Suitcases
B09WXLYG6C,"Aspire DLX Softside Expandable Luggage with Spinner Wheels, Checked-Medium 25-Inch, Emerald",Suitcases
B07FDK2FVQ,"Winfield 3 DLX Hardside Luggage with Spinners, 3-Piece Set (20/25/28), Blue/Navy",Suitcases
B07FNSKMST,"Oxford Expandable Spinner Luggage Suitcase with TSA Lock - 30.1 Inch, Black",Suitcases
B09R35YK22,"Chatelet Hardside 2.0 Luggage with Spinner Wheels, Chocolate Brown, Checked-Medium 24 Inch",Suitcases
B084LP1JLY,"Anzio Softside Expandable Spinner Luggage, Teal, Checked-Large 30-Inch",Suitcases
